feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,label
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,49.0,66.0,17.0,60.333332,7.5555553,66.0,31.0,75.0,44.0,45.666668,19.555555,31.0,114.818,162.5,47.682,146.606,21.192,162.5,429.75,1685.0,1255.25,1266.5834,557.8889,1685.0,3.0,13.0,10.0,6.3333335,4.4444447,3.0,5.0,6.0,1.0,5.6666665,0.44444445,6.0,142.0,192.0,50.0,175.33333,22.222221,192.0,1.22,1.78,0.56,1.4066666,0.2488889,1.22,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,10.0,10.0,3.3333333,4.4444447,0.0,0.0,10.0,10.0,6.6666665,4.4444447,10.0,12.0,13.0,1.0,12.333333,0.44444445,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666,2.2222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666667,1.7777778,4.0,4.0,5.0,1.0,4.3333335,0.44444445,4.0,24.26,31.24,6.98,28.913334,3.1022222,31.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,175.66667,24.444445,194.0,2.0,0.33333334,3.3333333,6.6666665,0.0,0.075405486,0.016756775,0.13973464,-4.333995,-0.0031209467,0.0,28.0502,-0.35967976
2.0,0.7905694,0.7591472,0.75061625,0.750049,0.75000125,46.0,65.0,19.0,50.75,7.125,46.0,29.0,62.0,33.0,53.75,12.375,62.0,106.42,158.92535,52.50535,119.54634,19.689507,106.42,1629.0,1828.05,199.05,1778.2875,74.64375,1828.05,3.0,10.0,7.0,8.25,2.625,10.0,5.0,6.0,1.0,5.25,0.375,5.0,139.0,194.0,55.0,152.75,20.625,139.0,1.21,2.2,0.99,1.9525,0.37125,2.2,0.0,2.0,2.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,9.0,9.0,2.25,3.375,0.0,10.0,11.0,1.0,10.25,0.375,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,5.0,5.0,1.25,1.875,0.0,14.41,31.736666,17.326666,18.741667,6.4975,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,217.25,11.625,225.0,0.5,0.0,7.5,2.25,0.0,0.2610315,0.048943408,0.0002879,-5.9221354,-0.42380226,0.0,17.3491,-0.71765745
3.0,0.61237246,0.5386087,0.50609934,0.50110865,0.5000976,40.0,79.0,39.0,61.75,17.25,79.0,44.0,75.0,31.0,62.75,9.375,66.0,91.224,196.96657,105.74257,149.99379,46.972786,196.96657,429.75,2128.0,1698.25,1308.1025,439.17624,1337.33,4.0,13.0,9.0,9.75,2.875,11.0,5.0,6.0,1.0,5.5,0.5,6.0,136.0,175.0,39.0,147.25,13.875,136.0,1.33,2.54,1.21,2.0475,0.4925,2.54,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.25,0.375,0.0,2.0,10.0,8.0,8.0,3.0,10.0,0.0,14.0,14.0,7.0,7.0,14.0,4.0,25.0,21.0,16.75,8.25,25.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.75,2.75,1.0,16.7,24.26,7.56,20.21375,3.51375,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,225.0,86.0,195.75,29.25,225.0,1.5,0.25,8.0,7.0,0.0,0.30651453,0.058206942,0.00019385,-4.909472,0.00862725,0.0,19.7631,-0.4592933
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,40.0,79.0,39.0,66.0,17.333334,79.0,44.0,66.0,22.0,58.666668,9.777778,66.0,91.224,196.96657,105.74257,161.71904,46.996696,196.96657,1337.33,2128.0,790.67,1600.8867,351.40887,1337.33,4.0,11.0,7.0,8.666667,3.1111112,11.0,5.0,6.0,1.0,5.6666665,0.44444445,6.0,136.0,175.0,39.0,149.0,17.333334,136.0,1.33,2.54,1.21,2.1366668,0.5377778,2.54,1.0,2.0,1.0,1.3333334,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,7.3333335,3.5555556,10.0,0.0,14.0,14.0,9.333333,6.2222223,14.0,4.0,25.0,21.0,18.0,9.333333,25.0,0.0,1.0,1.0,0.6666667,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666667,3.5555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.3333333,3.1111112,1.0,16.7,23.195,6.495,18.865,2.8866668,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66667,13.777778,225.0,1.3333334,0.0,7.3333335,9.333333,0.0,0.30651453,0.06811434,0.018931467,-5.601694,-0.06270396,0.0,18.795,-0.5747687
2.0,0.7905694,0.7591472,0.75061625,0.750049,0.75000125,23.0,28.0,5.0,26.75,1.875,28.0,46.0,61.0,15.0,57.25,5.625,61.0,50.9415,58.6934,7.7519,56.755424,2.9069624,58.6934,1728.0,2183.0,455.0,1841.75,170.625,1728.0,5.0,10.0,5.0,8.75,1.875,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,153.0,29.0,131.25,10.875,124.0,1.63,1.91,0.28,1.84,0.105,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,6.75,1.875,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,8.75,1.875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.25,1.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.25,1.875,2.0,10.32,13.01,2.69,10.9925,1.00875,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.44654602,0.22327301,0.5953947,225.0,229.0,4.0,226.0,1.5,225.0,2.0,0.0,6.75,0.0,0.0,0.019409169,0.003639219,9.2575e-05,-6.647905,-0.058998816,0.0,11.0837,-0.23769544
2.0,0.8689661,0.8584636,0.8571649,0.8571433,0.85714287,5.0,71.0,66.0,14.428572,16.163265,5.0,41.0,72.0,31.0,67.57143,7.591837,72.0,10.811,174.9668,164.1558,34.26183,40.20142,10.811,1936.0,2348.0,412.0,2289.1428,100.89796,2348.0,3.0,13.0,10.0,11.571428,2.4489796,13.0,2.0,6.0,4.0,2.5714285,0.97959185,2.0,84.0,187.0,103.0,98.71429,25.22449,84.0,1.27,2.04,0.77,1.93,0.18857142,2.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.85714287,0.24489796,1.0,0.0,1.0,1.0,0.14285715,0.24489796,0.0,0.0,14.0,14.0,2.0,3.4285715,0.0,3.0,17.0,14.0,5.0,3.4285715,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.285714,1.2244898,5.0,0.0,9.0,9.0,1.2857143,2.2040815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,5.571429,0.97959185,5.0,7.1725,28.865,21.6925,10.271428,5.312449,7.1725,0.0,1.524,1.524,1.3062857,0.3732245,1.524,0.0,0.0022471,0.0022471,0.0003210143,0.0005503102,0.0,166.0,194.0,28.0,170.0,6.857143,166.0,2.0,0.85714287,0.14285715,2.0,0.0,0.1377629,0.016868928,-8.6e-05,-6.6791563,0.10411347,0.0,9.6189,-0.30887222
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,14.0,77.0,63.0,48.4,27.52,14.0,19.0,78.0,59.0,59.0,16.0,60.0,28.0855,192.217,164.1315,116.9694,71.10712,28.0855,1294.0,2739.0,1445.0,2029.2,567.84,1687.0,3.0,14.0,11.0,9.8,3.36,9.0,3.0,6.0,3.0,4.8,1.44,3.0,111.0,201.0,90.0,141.0,24.0,111.0,1.14,2.2,1.06,1.868,0.2912,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,7.0,7.0,2.8,3.36,0.0,0.0,14.0,14.0,6.4,6.08,0.0,4.0,23.0,19.0,12.0,8.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,10.0,10.0,2.0,3.2,0.0,3.0,10.0,7.0,4.8,2.08,3.0,14.21,34.81,20.6,20.822,5.5952,14.21,0.0,0.773,0.773,0.3092,0.37104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,227.0,33.0,219.6,10.24,225.0,2.0,0.8,2.8,6.4,0.0,0.24489616,0.033908177,-7.84e-05,-7.7182236,-0.34127784,0.0,17.2982,-1.0537151
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,77.0,90.0,13.0,81.333336,5.7777777,77.0,16.0,60.0,44.0,45.333332,19.555555,60.0,192.217,232.03806,39.82106,205.49069,17.69825,192.217,2023.0,2739.0,716.0,2500.3333,318.22223,2739.0,3.0,9.0,6.0,7.0,2.6666667,9.0,6.0,7.0,1.0,6.3333335,0.44444445,6.0,141.0,206.0,65.0,162.66667,28.88889,141.0,1.3,2.2,0.9,1.9,0.4,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,5.3333335,2.2222223,7.0,0.0,14.0,14.0,9.333333,6.2222223,14.0,4.0,23.0,19.0,16.666666,8.444445,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,4.6666665,2.2222223,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,4.6666665,2.2222223,3.0,14.21,32.37,18.16,20.263334,8.071111,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,2.0,0.0,5.3333335,9.333333,0.0,0.18331352,0.040736336,-0.0015292333,-9.195476,-0.089916304,0.0,19.1604,-0.8211892
3.0,0.61237246,0.5386087,0.50609934,0.50110865,0.5000976,26.0,71.0,45.0,40.25,15.375,32.0,41.0,79.0,38.0,63.5,15.5,79.0,55.845,174.9668,119.1218,94.02295,40.471924,72.64,1211.4,1936.0,724.6,1542.45,331.05,1211.4,3.0,14.0,11.0,9.75,4.25,14.0,4.0,6.0,2.0,4.5,0.75,4.0,120.0,187.0,67.0,139.75,23.625,120.0,1.27,2.01,0.74,1.78,0.255,2.01,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,10.0,9.0,6.75,3.25,10.0,0.0,14.0,14.0,3.5,5.25,0.0,8.0,17.0,9.0,13.25,2.625,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,9.0,9.0,3.25,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,5.25,1.875,4.0,10.73,28.865,18.135,21.40125,5.335625,23.005,0.0,0.383,0.383,0.1915,0.1915,0.383,0.0,2.1106627,2.1106627,0.52822745,0.7912177,0.0,194.0,229.0,35.0,218.25,12.125,225.0,2.0,1.0,6.75,3.5,0.0,0.12794258,0.021714075,0.003539875,-5.920508,0.07654796,0.0,17.5315,-0.40064198
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,22.0,79.0,57.0,60.0,25.333334,79.0,43.0,66.0,23.0,58.333332,10.222222,66.0,47.867,196.96657,149.09956,147.26671,66.26647,196.96657,1337.33,1941.0,603.67,1538.5533,268.2978,1337.33,4.0,11.0,7.0,8.666667,3.1111112,11.0,4.0,6.0,2.0,5.3333335,0.8888889,6.0,136.0,160.0,24.0,144.0,10.666667,136.0,1.54,2.54,1.0,2.2066667,0.44444445,2.54,1.0,2.0,1.0,1.3333334,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,7.3333335,3.5555556,10.0,0.0,14.0,14.0,9.333333,6.2222223,14.0,4.0,25.0,21.0,18.0,9.333333,25.0,0.0,1.0,1.0,0.6666667,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666667,3.5555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.3333333,3.1111112,1.0,16.69,16.7,0.01,16.696667,0.0044444446,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2533333e-05,2.2533333e-05,7.511111e-06,1.00148145e-05,0.0,194.0,225.0,31.0,214.66667,13.777778,225.0,1.3333334,0.0,7.3333335,9.333333,0.0,0.22119921,0.04915538,0.1156515,-5.176757,-0.078126684,0.0,16.9382,-0.43286958
