epoch,train,partialtrain,Rsplt1,Rsplt2,Rsplt3,Rsplt4,Rsplt5,RspltAVE,Xshft,pizeo,statY,infoY,BLANK,best_train,best_partialtrain,best_Rsplt1,best_Rsplt2,best_Rsplt3,best_Rsplt4,best_Rsplt5,best_Rsplt_AVE,best_Xshft,best_pizeo,best_statY,best_infoY,save,attack_gamma
17,124.1759,2195.1804,122.4805,122.7608,119.8583,122.4524,123.9846,122.3073,132.2635,30.5696,79.8078,12.2634,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0207], device='cuda:0')"
18,269.6593,1476.1060,258.6184,256.7087,255.4345,259.5756,258.6849,257.8044,315.8403,210.9873,287.9080,246.1653,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0241], device='cuda:0')"
19,652.3203,3363.9539,790.1743,783.6183,783.9171,794.4620,799.8500,790.4043,969.7755,824.5071,830.6402,764.0235,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0329], device='cuda:0')"
20,1165.1616,2140.0992,1337.6201,1324.0266,1323.4763,1338.2572,1348.6697,1334.4100,1454.0842,1224.4930,1279.8438,1121.2068,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0292], device='cuda:0')"
21,292.8950,1045.8219,359.2453,356.7185,354.3106,359.6654,362.5545,358.4989,340.7315,202.0642,262.4192,151.3139,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0308], device='cuda:0')"
22,942.5318,292.3026,943.3679,943.6465,930.6569,947.9135,959.5012,945.0172,1116.8374,708.2815,905.9343,589.9996,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0799], device='cuda:0')"
23,315.9513,1724.3931,252.9577,254.9050,249.5837,255.9412,260.0919,254.6959,367.4918,67.3257,247.4053,22.3286,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1259], device='cuda:0')"
24,1089.3788,456.6686,1159.3539,1159.8735,1136.4449,1160.0382,1180.3318,1159.2085,1232.2991,567.2794,877.4260,340.7807,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.2578], device='cuda:0')"
25,3280.8206,1709.9791,3391.9558,3380.5942,3342.4995,3396.6270,3426.3245,3387.6002,3479.3572,2562.8196,2922.3528,2148.8767,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
26,982.5472,2113.7638,1021.3596,1019.1240,1006.1666,1023.7924,1036.7579,1021.4401,1138.4796,744.9630,938.1683,621.1086,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
27,83.3790,1036.1639,92.1202,89.8804,91.9747,90.2755,90.8709,91.0243,71.1658,121.4755,93.2011,130.9985,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
28,751.0051,529.4581,769.8667,769.0705,762.1212,772.2858,778.4849,770.3658,899.0045,709.4598,786.5237,675.9205,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
29,1174.7694,638.1205,1403.8571,1386.0891,1403.0570,1405.8323,1404.2294,1400.6130,1429.0382,1537.3435,1458.1488,1618.0309,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
30,799.2557,1053.3946,843.4955,844.1370,829.5512,848.2302,859.6479,845.0124,905.8817,396.6479,638.3958,255.5873,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.1692], device='cuda:0')"
31,3.2032,1860.5440,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,6.4366,1.5925,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,"['Rsplt1', 'Rsplt2', 'Rsplt3', 'Rsplt4', 'Rsplt5', 'Xshft', 'pizeo', 'infoY', 'Rsplt_AVE']","tensor([0.1692], device='cuda:0')"
32,54.7449,552.2979,72.6272,72.5012,71.2015,72.8226,74.0435,72.6392,74.4414,35.6062,48.0769,17.1690,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
33,204.9895,619.0205,285.9468,282.8258,281.4345,285.3580,288.9637,284.9057,283.0775,218.2692,221.9188,166.9500,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
34,68.9986,393.7654,73.4989,73.1371,73.7801,74.0239,74.0439,73.6968,91.6543,118.8508,102.5696,133.5401,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
35,222.0930,1291.1357,219.6927,218.8276,217.3093,221.1207,222.7774,219.9455,279.3408,229.8098,249.6167,229.7072,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
36,15.2937,537.5618,31.9233,30.5856,31.8669,31.3075,32.6057,31.6578,90.6006,49.8794,46.7850,41.4923,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
37,894.6388,860.8110,914.2133,912.4462,899.4550,918.3130,929.2335,914.7322,1040.9987,553.7270,814.0314,398.3501,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
38,645.6159,663.6168,622.8012,622.6869,614.5993,624.8641,631.5254,623.2954,728.0704,431.5182,592.6182,362.4609,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
39,291.8867,738.3394,378.2200,373.0914,377.5559,379.4619,380.1306,377.6920,467.2120,540.8113,461.6476,557.2554,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
40,686.7790,393.9394,708.2194,705.6188,703.8558,709.4150,713.7232,708.1664,771.0768,685.4678,712.4462,686.8237,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
41,4007.1075,828.1688,4718.0708,4699.4551,4695.6465,4750.3882,4782.5146,4729.2150,5536.5029,5012.9468,4979.5884,4841.9194,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
42,290.7980,2562.2844,223.9566,225.4703,222.2664,225.1255,228.3219,225.0281,320.0764,151.0992,256.9259,149.7701,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
43,2683.5866,1376.8296,2765.9329,2768.6992,2717.1213,2772.5564,2818.8677,2768.6355,3057.8625,1197.0756,2124.3757,717.2773,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
44,4165.5607,2749.5013,4651.2080,4629.6260,4586.1470,4664.3481,4720.7373,4650.4133,5111.4609,3242.8828,4074.1826,2614.6016,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
45,197.0401,2320.5674,175.5461,176.3345,171.7681,175.9241,180.0296,175.9205,199.9917,30.2878,119.9025,4.3951,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
46,634.0827,288.6511,688.1329,693.6384,665.8782,697.5644,712.8989,691.6226,741.5236,129.1783,461.8243,12.2940,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
47,892.6600,514.4268,862.2556,866.1445,853.1018,864.6675,875.3862,864.3111,1037.7535,712.9927,872.0710,637.4080,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
48,8.8249,491.5863,21.3159,20.7894,20.8711,21.3496,21.7568,21.2166,25.3595,17.4917,17.7767,9.6082,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
49,359.8208,1340.1287,385.9545,383.1533,381.8920,390.3222,394.0063,387.0657,515.3957,199.0485,374.3454,165.9127,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
50,40.4376,543.6431,30.2000,30.2499,30.3017,30.5909,31.0301,30.4745,60.8750,20.1166,42.1026,11.0968,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
51,119.8460,1051.6482,176.9502,172.7359,181.0188,179.6421,178.7304,177.8155,238.2231,195.6444,238.4534,275.5193,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
52,426.6188,603.1401,536.5116,529.6463,530.0234,537.2706,542.1849,535.1274,618.7958,497.3542,527.3425,445.6538,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
53,459.3159,363.2308,567.7465,567.0497,554.3285,569.4841,577.9678,567.3153,514.5880,272.2407,370.7993,155.9398,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
54,166.8446,363.1764,148.6153,149.9217,146.2780,148.3325,151.7482,148.9792,147.7694,33.4645,82.6401,4.8806,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
55,2405.5899,560.0777,2362.4072,2360.3191,2321.7405,2368.7551,2400.8044,2362.8053,2679.6116,1536.1345,2102.3372,1197.1343,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
56,130.3159,1874.5707,148.2631,147.3447,145.9107,148.4283,149.1535,147.8201,114.0970,137.0711,132.5399,120.1806,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
57,438.3091,332.2182,528.5682,521.9821,519.5922,527.4117,533.8673,526.2843,605.5876,512.3806,514.0774,430.2839,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
58,209.7317,792.1293,177.1705,179.7103,174.3226,176.2665,180.9948,177.6930,148.6024,78.4634,122.3438,36.0656,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
59,266.0400,561.3154,196.2741,192.4783,192.4181,197.0584,197.3751,195.1208,346.8404,91.8574,258.0332,79.4248,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
60,50.9938,786.2536,37.4069,37.5574,37.4886,37.4647,37.9203,37.5676,67.2947,23.9388,42.0466,32.9513,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
61,2289.2855,1043.0741,2774.9758,2752.8982,2732.7285,2781.1055,2814.7266,2771.2869,3253.2595,2123.5825,2444.1140,1622.0018,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
62,27.8305,1815.0542,24.7016,24.5925,24.3590,23.8200,25.7537,24.6454,69.7529,81.0893,51.3101,49.0970,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
63,21.6971,424.4505,17.1706,17.4869,17.2987,17.3081,17.3169,17.3163,33.0149,20.3814,22.2773,28.0215,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
64,98.9202,581.3218,90.4722,90.8857,91.1245,91.7896,91.7468,91.2038,115.3559,102.0052,116.5565,115.9846,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
65,91.0765,349.6515,193.3437,185.0199,190.2031,190.4812,191.2518,190.0599,178.0484,136.0343,132.8615,89.8232,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
66,69.6802,322.9367,85.2383,85.0253,82.6735,85.7663,87.9767,85.3360,109.4188,45.3294,60.7304,31.5257,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
67,964.5550,846.2580,1123.9532,1124.0262,1102.7621,1123.2004,1139.7448,1122.7374,1069.8315,580.8094,781.7703,329.4294,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
68,58.7903,909.4282,39.8863,39.8067,39.6853,40.3089,40.6579,40.0690,76.7295,15.5831,55.1976,6.2067,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
69,857.3814,460.8809,815.5382,819.7267,801.0449,817.4490,832.6658,817.2849,907.9474,238.3169,596.1185,87.1759,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
70,115.2249,382.2412,118.4566,118.9078,116.0420,118.5899,121.0052,118.6003,125.6926,44.0003,80.6640,17.0348,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
71,461.2249,581.1773,459.1133,458.9196,458.6969,463.8333,465.4954,461.2117,771.9710,554.8480,618.4402,590.8958,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
72,2078.6120,935.3732,2531.0720,2502.6680,2495.7761,2522.3311,2550.6475,2520.4989,2630.6497,2159.8589,2207.8733,1769.7567,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
73,684.0073,1441.9117,631.5922,631.0511,620.9389,635.4547,643.2205,632.4515,875.9279,416.2137,660.0101,322.3094,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
74,1162.6969,799.5426,1674.0328,1644.4056,1670.4138,1671.9600,1675.5436,1667.2712,1950.5620,2027.3289,1760.5547,1900.5627,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
75,81.8973,524.2799,59.8860,59.1424,59.3646,58.3806,60.3752,59.4298,151.7710,52.6301,69.5953,48.8650,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
76,38.7913,691.3156,31.2869,31.1252,32.0030,32.0699,31.8019,31.6574,47.2628,22.5341,49.7104,19.6939,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5925,[],"tensor([0.1692], device='cuda:0')"
77,43.1157,968.3409,44.8757,45.3180,43.6316,44.5503,45.8015,44.8354,39.5997,8.2488,23.5169,1.5131,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,['infoY'],"tensor([0.1692], device='cuda:0')"
78,94.8434,523.3445,79.8388,77.1596,76.1811,77.6528,78.1668,77.7998,111.3247,18.6671,87.5886,4.3293,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
79,539.7012,523.4471,434.9595,436.1588,430.8314,434.4339,433.7468,434.0261,592.6025,417.8851,505.4376,487.9413,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
80,606.5978,470.0818,844.2619,833.7007,837.0222,846.5968,852.6250,842.8413,1018.4580,870.8602,815.0753,729.3495,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
81,211.7516,787.8885,175.1565,180.9390,174.2553,172.5982,179.3659,176.4630,225.7629,61.4888,115.7240,25.8370,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
82,116.3479,111.9273,141.6816,140.1848,138.4434,141.8216,143.4362,141.1135,102.7065,77.2917,94.4901,35.2733,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
83,1463.8419,1816.3006,1748.5302,1748.4945,1742.0350,1743.0927,1763.8096,1749.1924,1693.9974,1633.4257,1508.6821,1381.1696,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
84,48.2453,603.0178,51.9692,51.7991,52.3050,52.0837,51.5215,51.9357,59.1804,52.7993,60.1291,65.9290,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
85,83.0735,187.8518,167.4004,162.4493,163.8412,165.5324,165.1861,164.8819,135.8285,128.4083,105.2312,77.5708,                         ,2.4532,38.8962,4.2798,3.9976,4.1441,4.1728,4.0893,4.1367,5.4632,1.8695,5.3272,1.5131,[],"tensor([0.1692], device='cuda:0')"
